subject,trial_id,condition,onset_s,tr_s,window_start_tr,window_stop_tr,nacc_psc_window_mean,vta_psc_window_mean
sub-09,1,reward,8.0,1.0,5,7,-0.829076886177063,-0.4191049337387085
sub-09,2,reward,23.0,1.0,5,7,-0.5272606611251831,0.9429111480712891
sub-09,3,neutral,35.0,1.0,5,7,-1.6446717977523804,-0.145520880818367
sub-09,4,reward,41.0,1.0,5,7,0.2355419397354126,-0.8187196254730225
sub-09,5,reward,48.0,1.0,5,7,-0.5489221811294556,-0.6451278924942017
sub-09,6,reward,53.0,1.0,5,7,-0.06964005529880524,-0.19412878155708313
sub-09,7,reward,65.0,1.0,5,7,-1.6823761463165283,-0.6458203792572021
sub-09,8,neutral,86.0,1.0,5,7,1.0699100494384766,-0.7544900178909302
sub-09,9,neutral,100.0,1.0,5,7,-1.1435664892196655,-0.7850410342216492
sub-09,10,reward,120.0,1.0,5,7,-1.0087878704071045,-0.7315759658813477
sub-09,11,reward,134.0,1.0,5,7,0.1267533153295517,-0.2795364558696747
sub-09,12,reward,145.0,1.0,5,7,0.9070467948913574,1.4459872245788574
sub-09,13,reward,153.0,1.0,5,7,-1.163144588470459,-0.5184014439582825
sub-09,14,neutral,161.0,1.0,5,7,-1.7810561656951904,-1.2936732769012451
sub-09,15,reward,173.0,1.0,5,7,-0.4667665958404541,0.10723304003477097
sub-09,16,neutral,179.0,1.0,5,7,-1.9647798538208008,-0.6808872222900391
sub-09,17,reward,186.0,1.0,5,7,0.3935915231704712,-0.15281319618225098
sub-09,18,neutral,193.0,1.0,5,7,0.5917524099349976,1.056444525718689
sub-09,19,reward,199.0,1.0,5,7,0.9157151579856873,-0.532986044883728
sub-09,20,neutral,204.0,1.0,5,7,-1.1134021282196045,-0.2496778964996338
sub-09,21,neutral,216.0,1.0,5,7,-0.5675336718559265,-0.5527758002281189
sub-09,22,neutral,229.0,1.0,5,7,1.0689473152160645,0.3891497552394867
sub-09,23,reward,240.0,1.0,5,7,0.07284414768218994,0.1950693130493164
sub-09,24,neutral,245.0,1.0,5,7,1.5345895290374756,-0.8766974210739136
sub-09,25,reward,251.0,1.0,5,7,0.0030423812568187714,-0.1715625524520874
sub-09,26,reward,263.0,1.0,5,7,1.4336644411087036,0.12077406048774719
sub-09,27,reward,276.0,1.0,5,7,0.20505793392658234,0.39192622900009155
sub-09,28,reward,281.0,1.0,5,7,1.0357331037521362,-0.05178055167198181
sub-09,29,reward,294.0,1.0,5,7,0.6188706159591675,-0.3448096811771393
sub-09,30,reward,306.0,1.0,5,7,1.2529869079589844,0.5898236036300659
