subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-09,1,reward,8.0,1.0,-2,-2.0,-1.326169490814209,-0.6763746738433838
sub-09,1,reward,8.0,1.0,-1,-1.0,-0.373705118894577,0.32492008805274963
sub-09,1,reward,8.0,1.0,0,0.0,1.5090733766555786,0.2596500515937805
sub-09,1,reward,8.0,1.0,1,1.0,0.027753731235861778,-0.175724059343338
sub-09,1,reward,8.0,1.0,2,2.0,-0.6926925182342529,-0.3715406358242035
sub-09,1,reward,8.0,1.0,3,3.0,-0.7379408478736877,-0.10420531034469604
sub-09,1,reward,8.0,1.0,4,4.0,-1.7616398334503174,-1.0568889379501343
sub-09,1,reward,8.0,1.0,5,5.0,-0.7880028486251831,-0.24030481278896332
sub-09,1,reward,8.0,1.0,6,6.0,-0.8701509237289429,-0.5979050397872925
sub-09,1,reward,8.0,1.0,7,7.0,-0.17634524405002594,0.8054266571998596
sub-09,1,reward,8.0,1.0,8,8.0,-0.40676137804985046,-1.0249496698379517
sub-09,1,reward,8.0,1.0,9,9.0,0.2296038269996643,0.6811352968215942
sub-09,1,reward,8.0,1.0,10,10.0,1.37814199924469,0.8491740822792053
sub-09,1,reward,8.0,1.0,11,11.0,0.33903926610946655,-0.9298211336135864
sub-09,1,reward,8.0,1.0,12,12.0,-0.7851146459579468,-1.2270150184631348
sub-09,1,reward,8.0,1.0,13,13.0,-0.724462628364563,-1.017309546470642
sub-09,2,reward,23.0,1.0,-2,-2.0,-0.724462628364563,-1.017309546470642
sub-09,2,reward,23.0,1.0,-1,-1.0,-0.6833810806274414,-0.9409270882606506
sub-09,2,reward,23.0,1.0,0,0.0,-0.7873560190200806,-1.1936842203140259
sub-09,2,reward,23.0,1.0,1,1.0,-1.5809698104858398,-0.8291330933570862
sub-09,2,reward,23.0,1.0,2,2.0,-0.1400848925113678,-0.1264236718416214
sub-09,2,reward,23.0,1.0,3,3.0,-1.2212318181991577,-0.49930423498153687
sub-09,2,reward,23.0,1.0,4,4.0,-1.4580637216567993,-0.2951582074165344
sub-09,2,reward,23.0,1.0,5,5.0,-1.2809211015701294,0.6325241923332214
sub-09,2,reward,23.0,1.0,6,6.0,0.2263997346162796,1.2532981634140015
sub-09,2,reward,23.0,1.0,7,7.0,0.7892739772796631,0.7568219900131226
sub-09,2,reward,23.0,1.0,8,8.0,-0.6477600336074829,-0.06809806823730469
sub-09,2,reward,23.0,1.0,9,9.0,-0.20201556384563446,-1.0068928003311157
sub-09,2,reward,23.0,1.0,10,10.0,-0.16222770512104034,-0.9325975775718689
sub-09,2,reward,23.0,1.0,11,11.0,-1.2497903108596802,-0.5347222089767456
sub-09,2,reward,23.0,1.0,12,12.0,-2.1448068618774414,0.4825422167778015
sub-09,2,reward,23.0,1.0,13,13.0,0.022616658359766006,1.52480149269104
sub-09,3,neutral,35.0,1.0,-2,-2.0,-0.16222770512104034,-0.9325975775718689
sub-09,3,neutral,35.0,1.0,-1,-1.0,-1.2497903108596802,-0.5347222089767456
sub-09,3,neutral,35.0,1.0,0,0.0,-2.1448068618774414,0.4825422167778015
sub-09,3,neutral,35.0,1.0,1,1.0,0.022616658359766006,1.52480149269104
sub-09,3,neutral,35.0,1.0,2,2.0,0.9975472688674927,1.1331747770309448
sub-09,3,neutral,35.0,1.0,3,3.0,0.14713238179683685,0.34644272923469543
sub-09,3,neutral,35.0,1.0,4,4.0,-1.0521070957183838,-0.05976860225200653
sub-09,3,neutral,35.0,1.0,5,5.0,-1.802721381187439,0.19368427991867065
sub-09,3,neutral,35.0,1.0,6,6.0,-1.4866222143173218,-0.48472604155540466
sub-09,3,neutral,35.0,1.0,7,7.0,-1.8736400604248047,-1.2943657636642456
sub-09,3,neutral,35.0,1.0,8,8.0,-1.565566062927246,-0.4347299337387085
sub-09,3,neutral,35.0,1.0,9,9.0,-0.6297915577888489,-0.6562370657920837
sub-09,3,neutral,35.0,1.0,10,10.0,0.8351616263389587,-0.9770407676696777
sub-09,3,neutral,35.0,1.0,11,11.0,0.7947269678115845,-0.6249870657920837
sub-09,3,neutral,35.0,1.0,12,12.0,-0.3236430883407593,-1.012452244758606
sub-09,3,neutral,35.0,1.0,13,13.0,-0.7915303707122803,-0.8201079368591309
sub-09,4,reward,41.0,1.0,-2,-2.0,-1.0521070957183838,-0.05976860225200653
sub-09,4,reward,41.0,1.0,-1,-1.0,-1.802721381187439,0.19368427991867065
sub-09,4,reward,41.0,1.0,0,0.0,-1.4866222143173218,-0.48472604155540466
sub-09,4,reward,41.0,1.0,1,1.0,-1.8736400604248047,-1.2943657636642456
