subject,trial_id,condition,onset_s,tr_s,window_start_tr,window_stop_tr,nacc_psc_window_mean,vta_psc_window_mean
sub-14,1,reward,8.0,1.0,5,7,-0.017700478434562683,-0.20756350457668304
sub-14,2,reward,23.0,1.0,5,7,-0.08438565582036972,0.11785320192575455
sub-14,3,neutral,35.0,1.0,5,7,-0.01998862624168396,-0.20922541618347168
sub-14,4,reward,41.0,1.0,5,7,0.2267392873764038,0.3909686207771301
sub-14,5,reward,48.0,1.0,5,7,0.2446526139974594,0.06638287007808685
sub-14,6,reward,53.0,1.0,5,7,0.3753477931022644,0.3722904622554779
sub-14,7,reward,65.0,1.0,5,7,0.04955552890896797,0.07053357362747192
sub-14,8,neutral,86.0,1.0,5,7,0.1219538152217865,0.28595665097236633
sub-14,9,neutral,100.0,1.0,5,7,-0.49686625599861145,0.11204060912132263
sub-14,10,reward,120.0,1.0,5,7,0.4086928069591522,0.3785165250301361
sub-14,11,reward,134.0,1.0,5,7,0.4675605893135071,0.24569404125213623
sub-14,12,reward,145.0,1.0,5,7,0.2652265727519989,0.14068207144737244
sub-14,13,reward,153.0,1.0,5,7,-0.731785774230957,0.0763421282172203
sub-14,14,neutral,161.0,1.0,5,7,0.010497413575649261,-0.11417269706726074
sub-14,15,reward,173.0,1.0,5,7,0.08442434668540955,-0.5570534467697144
sub-14,16,neutral,179.0,1.0,5,7,-0.921164870262146,-0.16148826479911804
sub-14,17,reward,186.0,1.0,5,7,0.4538462162017822,-0.45950791239738464
sub-14,18,neutral,193.0,1.0,5,7,0.42717212438583374,0.250258207321167
sub-14,19,reward,199.0,1.0,5,7,-0.27833622694015503,0.07634617388248444
sub-14,20,neutral,204.0,1.0,5,7,-0.7321678996086121,-0.636330246925354
sub-14,21,neutral,216.0,1.0,5,7,-0.7079658508300781,-0.2652558386325836
sub-14,22,neutral,229.0,1.0,5,7,-0.23280069231987,-0.3611394762992859
sub-14,23,reward,240.0,1.0,5,7,0.2522716820240021,-0.7438310384750366
sub-14,24,neutral,245.0,1.0,5,7,-0.008175402879714966,-0.06975936889648438
sub-14,25,reward,251.0,1.0,5,7,-0.6075631380081177,-0.19511139392852783
sub-14,26,reward,263.0,1.0,5,7,-0.1764097511768341,0.376858651638031
sub-14,27,reward,276.0,1.0,5,7,-0.12057996541261673,-0.14281415939331055
sub-14,28,reward,281.0,1.0,5,7,-0.32368314266204834,-0.339555025100708
sub-14,29,reward,294.0,1.0,5,7,0.5491065979003906,0.11204059422016144
sub-14,30,reward,306.0,1.0,5,7,0.6015017628669739,0.4781333804130554
