subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-06,1,reward,8.0,1.0,-2,-2.0,-4.381899356842041,-2.747565507888794
sub-06,1,reward,8.0,1.0,-1,-1.0,-1.9821902513504028,0.5586994886398315
sub-06,1,reward,8.0,1.0,0,0.0,-4.870175838470459,-2.9793357849121094
sub-06,1,reward,8.0,1.0,1,1.0,-5.088939189910889,-1.694037675857544
sub-06,1,reward,8.0,1.0,2,2.0,-2.9345767498016357,-1.8042093515396118
sub-06,1,reward,8.0,1.0,3,3.0,-3.667302370071411,-2.5212016105651855
sub-06,1,reward,8.0,1.0,4,4.0,-2.2731614112854004,0.10056523233652115
sub-06,1,reward,8.0,1.0,5,5.0,-3.0545341968536377,-1.6717643737792969
sub-06,1,reward,8.0,1.0,6,6.0,-1.774612307548523,-0.046925973147153854
sub-06,1,reward,8.0,1.0,7,7.0,-2.959050178527832,-2.191904306411743
sub-06,1,reward,8.0,1.0,8,8.0,-1.364888072013855,0.503317654132843
sub-06,1,reward,8.0,1.0,9,9.0,-1.7839796543121338,-0.38465672731399536
sub-06,1,reward,8.0,1.0,10,10.0,-3.451561450958252,-2.371900796890259
sub-06,1,reward,8.0,1.0,11,11.0,-0.608594536781311,0.044580236077308655
sub-06,1,reward,8.0,1.0,12,12.0,-1.4633949995040894,-0.7440576553344727
sub-06,1,reward,8.0,1.0,13,13.0,-3.3566911220550537,-1.6013251543045044
sub-06,2,reward,23.0,1.0,-2,-2.0,-3.3566911220550537,-1.6013251543045044
sub-06,2,reward,23.0,1.0,-1,-1.0,-1.8876190185546875,-0.34190839529037476
sub-06,2,reward,23.0,1.0,0,0.0,-3.647662401199341,-1.554365634918213
sub-06,2,reward,23.0,1.0,1,1.0,-4.831194877624512,-5.1110663414001465
sub-06,2,reward,23.0,1.0,2,2.0,-5.518595218658447,-1.4857360124588013
sub-06,2,reward,23.0,1.0,3,3.0,-4.214199542999268,-2.846890926361084
sub-06,2,reward,23.0,1.0,4,4.0,-1.760104775428772,-0.5038538575172424
sub-06,2,reward,23.0,1.0,5,5.0,-0.93734210729599,-0.8885440230369568
sub-06,2,reward,23.0,1.0,6,6.0,-4.602465629577637,-2.5224080085754395
sub-06,2,reward,23.0,1.0,7,7.0,-4.092132568359375,-1.7596514225006104
sub-06,2,reward,23.0,1.0,8,8.0,-2.055011749267578,-0.8560276031494141
sub-06,2,reward,23.0,1.0,9,9.0,-2.4901068210601807,-0.4424512982368469
