subject,trial_id,condition,onset_s,tr_s,window_start_tr,window_stop_tr,nacc_psc_window_mean,vta_psc_window_mean
sub-11,1,reward,8.0,1.0,5,7,-1.5163636207580566,-1.1497339010238647
sub-11,2,reward,23.0,1.0,5,7,-2.610976219177246,-1.0829658508300781
sub-11,3,neutral,35.0,1.0,5,7,-1.8570291996002197,-0.4934282600879669
sub-11,4,reward,41.0,1.0,5,7,-2.387773036956787,-1.1492364406585693
sub-11,5,reward,48.0,1.0,5,7,-2.5788512229919434,-1.3213484287261963
sub-11,6,reward,53.0,1.0,5,7,-1.9172651767730713,-3.296694040298462
sub-11,7,reward,65.0,1.0,5,7,-3.3756356239318848,-1.1017588376998901
sub-11,8,neutral,86.0,1.0,5,7,-3.003178596496582,-0.22932180762290955
sub-11,9,neutral,100.0,1.0,5,7,-1.9932279586791992,-1.5859476327896118
sub-11,10,reward,120.0,1.0,5,7,-3.122312307357788,-0.9138193130493164
sub-11,11,reward,134.0,1.0,5,7,-2.311138868331909,0.1737590730190277
sub-11,12,reward,145.0,1.0,5,7,-3.1668214797973633,-0.4815613031387329
sub-11,13,reward,153.0,1.0,5,7,-3.8484859466552734,-1.2748610973358154
sub-11,14,neutral,161.0,1.0,5,7,-2.6665267944335938,-2.616649627685547
sub-11,15,reward,173.0,1.0,5,7,-2.514267921447754,-1.21996009349823
sub-11,16,neutral,179.0,1.0,5,7,1.4897291660308838,0.1633700430393219
sub-11,17,reward,186.0,1.0,5,7,-1.651224136352539,1.098122000694275
sub-11,18,neutral,193.0,1.0,5,7,0.16186749935150146,1.2084167003631592
sub-11,19,reward,199.0,1.0,5,7,-2.238856792449951,1.2400667667388916
sub-11,20,neutral,204.0,1.0,5,7,-0.9434577822685242,0.7845625877380371
sub-11,21,neutral,216.0,1.0,5,7,0.7826294898986816,0.8765521049499512
sub-11,22,neutral,229.0,1.0,5,7,4.867279052734375,2.0724401473999023
sub-11,23,reward,240.0,1.0,5,7,3.446722984313965,1.2484755516052246
sub-11,24,neutral,245.0,1.0,5,7,5.0476484298706055,1.88697350025177
sub-11,25,reward,251.0,1.0,5,7,4.20769739151001,1.6184186935424805
sub-11,26,reward,263.0,1.0,5,7,4.1705498695373535,2.010617971420288
sub-11,27,reward,276.0,1.0,5,7,6.70379638671875,0.845887303352356
sub-11,28,reward,281.0,1.0,5,7,6.268426895141602,1.0417430400848389
sub-11,29,reward,294.0,1.0,5,7,6.69643497467041,1.8083336353302002
sub-11,30,reward,306.0,1.0,5,7,5.283907413482666,1.6530392169952393
