subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-11,1,reward,8.0,1.0,-2,-2.0,-2.7923550605773926,-1.1952359676361084
sub-11,1,reward,8.0,1.0,-1,-1.0,-0.9899715781211853,-0.10914519429206848
sub-11,1,reward,8.0,1.0,0,0.0,-2.0146446228027344,-0.4879898130893707
sub-11,1,reward,8.0,1.0,1,1.0,-1.0943788290023804,0.40225014090538025
sub-11,1,reward,8.0,1.0,2,2.0,-1.687367558479309,-0.9192577600479126
sub-11,1,reward,8.0,1.0,3,3.0,-2.147162675857544,0.3270781934261322
sub-11,1,reward,8.0,1.0,4,4.0,-1.2222117185592651,-0.17739112675189972
sub-11,1,reward,8.0,1.0,5,5.0,-1.3808317184448242,-1.5513319969177246
sub-11,1,reward,8.0,1.0,6,6.0,-1.6518954038619995,-0.7481358051300049
sub-11,1,reward,8.0,1.0,7,7.0,-1.7763769626617432,-0.979602038860321
sub-11,1,reward,8.0,1.0,8,8.0,-2.3499581813812256,-0.2881784737110138
sub-11,1,reward,8.0,1.0,9,9.0,-1.815867304801941,-0.7708844542503357
sub-11,1,reward,8.0,1.0,10,10.0,-0.33474209904670715,-0.2901587188243866
sub-11,1,reward,8.0,1.0,11,11.0,-1.7977935075759888,-1.4652734994888306
sub-11,1,reward,8.0,1.0,12,12.0,-1.4517759084701538,-0.06759873032569885
sub-11,1,reward,8.0,1.0,13,13.0,-2.832512378692627,-1.2140241861343384
sub-11,2,reward,23.0,1.0,-2,-2.0,-2.832512378692627,-1.2140241861343384
sub-11,2,reward,23.0,1.0,-1,-1.0,-3.268890380859375,-0.5117237567901611
sub-11,2,reward,23.0,1.0,0,0.0,-2.8914101123809814,-0.6037229299545288
sub-11,2,reward,23.0,1.0,1,1.0,-2.362004518508911,-0.5423933863639832
sub-11,2,reward,23.0,1.0,2,2.0,-1.865394949913025,-0.547339141368866
sub-11,2,reward,23.0,1.0,3,3.0,-1.6518954038619995,-0.054741643369197845
sub-11,2,reward,23.0,1.0,4,4.0,-2.293069362640381,0.06890279799699783
sub-11,2,reward,23.0,1.0,5,5.0,-2.485819101333618,-1.2793142795562744
sub-11,2,reward,23.0,1.0,6,6.0,-2.736133098602295,-0.8866175413131714
sub-11,2,reward,23.0,1.0,7,7.0,-0.8715089559555054,-0.7936331033706665
sub-11,2,reward,23.0,1.0,8,8.0,-2.4001526832580566,-0.35643407702445984
sub-11,2,reward,23.0,1.0,9,9.0,-1.2871371507644653,-0.39302510023117065
sub-11,2,reward,23.0,1.0,10,10.0,-2.4958648681640625,-0.4157834053039551
sub-11,2,reward,23.0,1.0,11,11.0,-3.0440027713775635,-0.7946280241012573
sub-11,2,reward,23.0,1.0,12,12.0,-2.7140495777130127,0.1717788279056549
sub-11,2,reward,23.0,1.0,13,13.0,-2.2248013019561768,-0.4157834053039551
sub-11,3,neutral,35.0,1.0,-2,-2.0,-2.4958648681640625,-0.4157834053039551
